แต่ละวัน	ควรสร้างสรรค์	สิ่งแปลกใหม่	เช่นปั่นไฟ	โดยใช้เท้า	ถีบจักรยาน	Each day we should create novel things such as making electricity by riding a bicycle rapidly.
การหัวเราะ	เป็นนิสัย	ให้คุณค่า	ช่วยเยียวยา	ยามเป็นทุกข์	ให้สุขแด	Habitual laughing is valuable because it can give medication to distress for mental happiness.
จิตผ่องใส	ให้เห็นโลก	ใสกระจ่าง	ไม่พร่าอย่าง	จิตขุ่นหมอง	มองดูโลก	The pure mind sees the bright and transparent world but the gloomy mind sees the blurred world.
จัตขุ่นมัว	มักลืมตัว	ไม่เห็นตน	กลับเสียผล	ประโยชน์ดี	ที่ควรได้	"The murky mind makes people forget and not see themselves, losing good and deserved results."
เลิศปัญญา	มาเป็นเครื่อง	วินิจฉัย	ประยุกต์ใช้	ให้วิเคราะห์	ได้ทุกสิ่ง	Excellent wisdom can be a tool for investigation and application for analyzing things.
สิ่งใดใด	ใครต่อใคร	และเวลา	มีคุณค่า	มาเตือนเรา	ให้ตื่นตัว	"Anything, anyone and anytime are worth warning us to be alert."
ภาพวาดดี	ย่อมมีค่า	มาสอนใจ	สอนให้ใช้	วิจารณญาณ	ด้านเหตุผล	Good pictures are worth edifying or teaching people to use logical discretion.
นอกสวยใส	ไยน่ากิน	ดูรสหวาน	แต่เมื่อทาน	ขมรสชาติ	อาจเป็นพิษ	"Some seem to be dazzlingly beautiful, appetizing and sweet but when eaten they taste bitter and may be toxic."
งามภายนอก	อาจหลอกตา	หาดีไม่	งามภายใน	ให้ธาตุแท้	งามแน่นอน	The outside beauty may fool the eyes. But the inside beauty with true colors is exactly graceful.
เมื่ออภัย	ให้ตัวเอง	ยามทำผิด	ใครทำผิด	คิดอภัย	ให้เขาบ้าง	"When you forgive yourself for doing something wrong, you can also forgive others for their mistakes."
ผิดครั้งใหญ่	มีอภัย	ให้กันได้	เพราะทุกราย	ย่อมเคยได้	กระทำผิด	Big mistakes should be forgivable because everyone used to have a misstep.
เห็ดสวยใส	ไยน่ากิน	ลิ้มรสได้	คนหลายราย	กลับต้องตาย	เมื่อได้กิน	Beautiful mushrooms are appetizing but many people have to be killed after eating them.
รูปภายนอก	อาจหลอกได้	หลายแบบอย่าง	มีอาจพลาง	คือภายใน	ให้รู้จริง	An outside image can be deceptive in many patterns but the inside truth cannot be camouflaged.
รู้วิธี	ทำงานดี	ย่อมมีค่า	ย่อมก้าวหน้า	พาไปสู้	การบริหาร	Knowing good procedures is valuable and can make progress in administration.
ความโง่เขลา	มักทำเรา	ลำบากได้	ทำใครตาย	อย่างง่ายดาย	ได้เช่นกัน	Stupidity often troubles us and can make some die easily too.
ปัญญาคม	ช่วยไม่จม	ปลักความทุกข์	ช่วยพบสุข	ได้หลายทาง	อย่างแยบยล	Acumen helps not to be stagnant in sufferings and meet pleasure in many ways sagaciously.
สูงยศโง่	โถเป็นทาส	เจ้าปัญญา	ถูกหลอกพา	มาเป็นเหยื่อ	เพื่อผลพวง	Some fools have high ranks but are enslaved by idea men. They are victimized for many byproducts.
พวกบัณฑิต	คิดแยบยล	กลลวงมี	โง่ยศดี	มีโอกาส	พลาดหลงเชื่อ	Many pundits have shrewd and tricky ideas. Some fools with good ranks are likely to be hoaxed.
คุณธรรม	ถ้าใช้นำ	ความมีชัย	น่าภูมิใจ	ให้แบบอย่าง	น่าชื่นชม	"If moral principles are used to get victory, it is pride to give an admirable example."
ถ้าสิ่งใด	ไม่มีทาง	เป็นไปได้	อย่าโง่หมาย	ได้ชนะ	สิ่งเหล่านี้	"If some other things are not potential, don't be foolish to overcome them."
