แต่ละวัน,ควรสร้างสรรค์,สิ่งแปลกใหม่,เช่นปั่นไฟ,โดยใช้เท้า,ถีบจักรยาน
นอกสวยใส,ไยน่ากิน,ดูรสหวาน,แต่เมื่อทาน,ขมรสชาติ,อาจเป็นพิษ
งามภายนอก,อาจหลอกตา,หาดีไม่,งามภายใน,ให้ธาตุแท้,งามแน่นอน
เมื่ออภัย,ให้ตัวเอง,ยามทำผิด,ใครทำผิด,คิดอภัย,ให้เขาบ้าง
ผิดครั้งใหญ่,มีอภัย,ให้กันได้,เพราะทุกราย,ย่อมเคยได้,กระทำผิด
เห็ดสวยใส,ไยน่ากิน,ลิ้มรสได้,คนหลายราย,กลับต้องตาย,เมื่อได้กิน
รูปภายนอก,อาจหลอกได้,หลายแบบอย่าง,มีอาจพลาง,คือภายใน,ให้รู้จริง
รู้วิธี,ทำงานดี,ย่อมมีค่า,ย่อมก้าวหน้า,พาไปสู้,การบริหาร
ความโง่เขลา,มักทำเรา,ลำบากได้,ทำใครตาย,อย่างง่ายดาย,ได้เช่นกัน
ปัญญาคม,ช่วยไม่จม,ปลักความทุกข์,ช่วยพบสุข,ได้หลายทาง,อย่างแยบยล
สูงยศโง่,โถเป็นทาส,เจ้าปัญญา,ถูกหลอกพา,มาเป็นเหยื่อ,เพื่อผลพวง
พวกบัณฑิต,คิดแยบยล,กลลวงมี,โง่ยศดี,มีโอกาส,พลาดหลงเชื่อ
คุณธรรม,ถ้าใช้นำ,ความมีชัย,น่าภูมิใจ,ให้แบบอย่าง,น่าชื่นชม
ถ้าสิ่งใด,ไม่มีทาง,เป็นไปได้,อย่าโง่หมาย,ได้ชนะ,สิ่งเหล่านี้
เหตุแห่งทุกข์,คืออะไร,ให้ย้อนถาม,แล้วติดตาม,วิธีธรรม,กำจัดมัน
ทุกความจริง,คือความจริง,ทุกสิ่งสรรพ,เกิด แก่ ดับ,สิ้นสุดไป,ในความว่าง
การคนพบ,ตัวเองได้,ความหมายมี,ชั่วและดี,มีฝังไว้,ในสันดาน
จิตแจ่มใส,ใจไม่ยุ่ง,ไม่มุ่งหวัง,เป็นพลัง,ช่วยต่อวัย,ให้ยืนยาว
หวกยศใหญ่,ไม่ฉลาด,มักพลาดได้,มีหลายราย,กลายเป็นเหยื่อ,นักบวชลวง
ขาดปัญญา,เหมือนตาบอด,ตลอดทาง,ชนสิ่งขวาง,ชนขวากหนาม,ตามทิ่มแทง
อิ่มใดใด,ไหนจะเท่า,อิ่มปัญญา,ประเสริฐกว่า,พวกหาอิ่ม,ทางโลกีย์
พูดอย่างใด,ทำอย่างนั้น,ท่านทำได้,คำมากมาย,บันทึกไว้,จากสิ่งทำ
แพ้อย่างไร,ในอดีต,ถพึงจดจำ,ย่อมช่วยนำ,การมีชัย,ในภายหน้า
เห็นผู้ใด,ผิดพลาดไว้,ให้จดจำ,พึงอย่าทำ,เพราะจำไว้,เป็นบทเรียน
หลงลาภเกิน,ย่อมเกินสู้,ความตายได้,ถ้ากระหาย,ทรัพย์เก็บไว้,ภัยย่อมมา
ยิ่งสูงวัย,ใจควรรู้,ถึงแก่นธรรม,อย่าเพ้อพร่ำ,นำมายา,พางมงาย
ช่วยเหลือเพื่อน,โดยช่วยเตือน,หรือแนะนำ,หรือกระทำ,ช่วยสิ่งใด,ให้คลายทุกข์
พวกชั่วช้า,ไร้ธรรมา,สอนไม่ได้,ต้องกฎหมาย,กำจัดได้,ถึงรากเหง้า
แนวของเซ็น,เน้นเปิดหู,ตาสว่าง,รู้ทุกอย่าง,เป็นความว่าง,ไร้ตนจริง
ความผิดพลาด,อาจเป็นบท,เรียนดีสุด,สอนให้หยุด,ความพลาดผิด,วิกฤตซ้ำ
หลงอัตตา,ว่ามีพร้อม,ทุกสิ่งได้,แต่บั้นปลาย,ได้แต่เหลือ,ความว่างเปล่า
อิ่มตัณหา,อย่าเทียบการ,อิ่มปัญญา,ซึ่งช่วยมา,กลบตัณหา,อย่างแยบยล
สนทนา,ก่อปัญญา,เกิดขึ้นได้,ถ้ามุ่งหมาย,ได้พูดจา,หาสาระ
นักฟังดี,ย่อมต้องมี,ปัญญาเพิ่ม,ช่วยส่งเสริม,พหูสูต,ฑูตความรู้
ผู้รู้ทาง,เราอย่าขวาง,ปล่อยนำไป,เราจึงใช้,เส้นทางนั้น,ดั้นด้นตาม
ทั้งเวลา,และคงคา,ไม่คอยใคร,สิ่งอยู่ใกล้,ให้ผลดี,ควรรีบทำ
เกิดชีวา,มีหูตา,มารับรู้,เพียงชั่วครู่,แล้วกลับสู่,ความว่างเปล่า
ลาภ ยศ สรรเสริญ,เชิญความทุกข์,มาทุกเมื่อ,ล้วนทำเพื่อ,ฉันของฉัน,แม้มันลวง
